,agency_name,ntd_id,hq_city,hq_county,counties_served,agency_website,caltrans_district_id,caltrans_district_name,is_public_entity,is_publicly_operating,funding_sources,on_demand_vehicles_at_max_service,vehicles_at_max_service,gtfs_schedule_uris
41,Livermore / Amador Valley Transit Authority,90144,Livermore,Alameda,Alameda,http://www.wheelsbus.com/,4.0,Bay Area / Oakland,True,True,5307;5311,,47.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=WH
42,Butte County Association of Governments,90208,Chico,Butte,Butte,http://www.blinetransit.com,3.0,Marysville / Sacramento,True,True,5307;5310;5311;5339,,36.0,http://www.blinetransit.com/documents/Google%20Transit/google_transit.zip
43,Los Angeles County Dept. of Public Works - Athens Shuttle Service,90269,Alhambra,Los Angeles,Los Angeles,www.lagobus.info,,,,,,,1.0,
44,Riverfront Joint Powers Authority,90304,,,,http://www.riverfrontstreetcar.com/board/,,,,,,,0.0,
45,"Wasco, City of",99426,Wasco,Kern,Kern,http://www.ci.wasco.ca.us/,,,,,,3.0,3.0,
46,City of Bell,90252,Bell,Los Angeles,Los Angeles,http://www.cityofbell.org/?NavID=276,7.0,Los Angeles,True,True,,,10.0,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/lacampana-ca-us/lacampana-ca-us.zip
47,Los Angeles County Dept. of Public Works - Willowbrook et al.,90279,Alhambra,Los Angeles,Los Angeles,http://www.dpw.lacounty.gov/transit/,,,,,,,3.0,
48,City of Artesia,90300,Artesia,Los Angeles,Los Angeles,http://www.cityofartesia.us/index.aspx?NID=189,7.0,Los Angeles,True,True,,,5.0,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/artesia-ca-us/artesia-ca-us.zip
49,Access Services  ,90157,El Monte,Los Angeles,Los Angeles,https://accessla.org/,7.0,Los Angeles,True,False,,,719.0,
50,Colusa County Transit Agency,91112,Colusa,Colusa,Colusa,http://www.countyofcolusa.org/transit,,,,,,6.0,6.0,
51,Kings County Area Public Transit Agency,90200,Hanford,Kings,Kings,http://www.kartbus.org,6.0,Fresno / Bakersfield,True,True,5307;5311;5339,,58.0,https://kart.connexionz.net/rtt/public/utility/gtfs.aspx
52,Santa Barbara County Association of Governments,90303,Santa Barbara,Santa Barbara,Santa Barbara,http://www.sbcag.org/,5.0,San Luis Obispo / Santa Barbara,True,True,5307,,9.0,https://cleanairexpress.com/gtfs/gtfs.zip
53,Humboldt Transit Authority,91036,Eureka,Humboldt,Humboldt,http://www.hta.org/,,,,,,14.0,14.0,
54,Tuolumne County Transit,91057,Sonora,Tuolumne,Tuolumne,https://www.tuolumnecountytransit.com/,,,,,,,12.0,
55,Quechan Indian Tribe,99310,Winterhaven,Imperial,,http://www.ycipta.org/routes/5,11.0,San Diego,True,False,,,0.0,
56,County of Sonoma ,90089,Santa Rosa,Sonoma,Sonoma,http://www.sctransit.com/,4.0,Bay Area / Oakland,True,True,5307;5310;5311,,45.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SO;https://data.trilliumtransit.com/gtfs/sonomacounty-ca-us/sonomacounty-ca-us.zip
57,Easy Lift Transportation,90243,Goleta,Santa Barbara,Santa Barbara,http://www.easylift.org/,5.0,San Luis Obispo / Santa Barbara,False,False,5310,28.0,28.0,
58,City of Whittier,90295,Whittier,Los Angeles,Los Angeles,https://www.whittierprcs.org/transit/dial-a-ride-and-dar-plus,7.0,Los Angeles,True,False,,,12.0,
59,City of Rio Vista,91014,Rio Vista,Solano,Solano,http://riovistacity.com/delta-breeze-transit-system/,,,,,,,2.0,
60,City of Ojai,91058,Ojai,Ventura,Ventura,http://www.ci.ojai.ca.us/,,,,,,2.0,2.0,
61,Golden Empire Transit District,90004,Bakersfield,Kern,Kern,http://www.getbus.org/,6.0,Fresno / Bakersfield,True,True,5307,91.0,91.0,http://eta.getbus.org/rtt/public/utility/gtfs.aspx
62,Yolo County Transportation District,90090,Woodland,Yolo,Yolo,http://www.yolobus.com/,3.0,Marysville / Sacramento,True,True,5307;5311,,42.0,https://www.yolobus.com/GTFS/google_transit.zip
63,Peninsula Corridor Joint Powers Board,90134,San Carlos,San Mateo,San Mateo,http://www.caltrain.com/,4.0,Bay Area / Oakland,True,True,5307;5309;5337,,85.0,https://api.511.org/transit/datafeeds?operator_id=CT;https://api.511.org/transit/datafeeds?operator_id=RG;https://data.trilliumtransit.com/gtfs/caltrain-ca-us/caltrain-ca-us.zip
64,City of Lynwood,90281,Lynwood,Los Angeles,Los Angeles,http://lynwood.ca.us/lynwood-trolley-breeze-schedule/,7.0,Los Angeles,True,True,,,4.0,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/lynwood-ca-us/lynwood-ca-us.zip
65,San Luis Obispo Regional Transit Authority,A0022,San Luis Obispo,San Luis Obispo,San Luis Obispo,http://www.slorta.org/,,,,,,,0.0,
66,City and County of San Francisco,90015,San Francisco,San Francisco,San Francisco,http://www.sfmta.com/,4.0,Bay Area / Oakland,True,True,5307;5309;5310;5337;5339,658.0,752.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SF
67,Omnitrans,90029,San Bernardino,San Bernardino,San Bernardino,http://www.omnitrans.org/,8.0,San Bernardino / Riverside,True,True,5307;5310,99.0,143.0,https://www.omnitrans.org/google/google_transit.zip
68,City of Dixon ,91041,Dixon,Solano,Solano,http://www.ci.dixon.ca.us/,,,,,,10.0,10.0,
69,San Mateo County Transit District,90009,San Carlos,San Mateo,San Mateo,http://www.samtrans.com/,4.0,Bay Area / Oakland,True,True,5303;5307;5311;5317,157.0,312.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SM;https://www.samtrans.com/Assets/GTFS/samtrans/ST-GTFS.zip?v=1114
70,City of Norwalk ,90022,Norwalk,Los Angeles,Los Angeles,https://www.norwalk.org/city-hall/departments/norwalk-transit-system-nts,7.0,Los Angeles,True,True,5307,24.0,31.0,https://nts.rideralerts.com/InfoPoint/GTFS-Zip.ashx
71,City of Torrance,90010,Torrance,Los Angeles,Los Angeles,http://Transit.TorranceCA.Gov/,7.0,Los Angeles,True,True,5307,38.0,74.0,https://transit.torranceca.gov/home/showdocument?id=16673
72,Santa Barbara Metropolitan Transit District,90020,Santa Barbara,Santa Barbara,Santa Barbara,http://www.sbmtd.gov/,5.0,San Luis Obispo / Santa Barbara,True,True,5307;5339,80.0,80.0,https://sbmtd.gov/google_transit/feed.zip
73,City of Santa Maria,90087,Santa Maria,Santa Barbara,Santa Barbara,http://www.cityofsantamaria.org/transit,5.0,San Luis Obispo / Santa Barbara,True,True,5307;5310;5311,,25.0,https://smrt.tripshot.com/v1/gtfs.zip?regionId=CA558DDC-D7F2-4B48-9CAC-DEEA1134F820
74,City of Beverly Hills,90255,Beverly Hills,Los Angeles,Los Angeles,http://www.beverlyhills.org/departments/publicworks/transportation/seniordisabledtransportation/web.jsp?NFR=1,7.0,Los Angeles,True,True,,,4.0,
75,City of Covina,90261,Covina,Los Angeles,Los Angeles,https://covinaca.gov/publicworks/page/covina-transit,7.0,Los Angeles,True,False,,,5.0,
76,Metropolitan Transportation Commission,A0013,San Francisco,San Francisco,San Francisco,http://www.mtc.ca.gov/,,,,,,,0.0,
77,Long Beach Transit,90023,Long Beach,Los Angeles,Los Angeles,http://www.lbtransit.com/,7.0,Los Angeles,True,True,5307;5339,136.0,144.0,https://drive.google.com/uc?export=download&id=1869EVa1z6m_iD6QmvRXyTHtYiaSUBROl
78,Palos Verdes Peninsula Transit Authority,90287,Palos Verdes Peninsula,Los Angeles,Los Angeles,http://www.palosverdes.com/pvtransit/,7.0,Los Angeles,True,True,,,27.0,https://data.trilliumtransit.com/gtfs/pvpta-ca-us/pvpta-ca-us.zip
79,City of Santa Fe Springs,90290,Santa Fe Springs,Los Angeles,Los Angeles,https://www.santafesprings.org/cityhall/transportation_services/default.asp,7.0,Los Angeles,True,False,,2.0,2.0,
80,Modoc Transportation Agency,91008,Alturas,Modoc,Modoc,http://sagestage.com/,,,,,,,3.0,
81,Lake Transit Authority,91053,Lower Lake,,,http://laketransit.org/,,,,,,,26.0,
82,City of Eureka ,91093,Eureka,Humboldt,Humboldt,http://www.ci.eureka.ca.gov,,,,,,,9.0,
83,Nevada County Transit Services,91095,Nevada City,Nevada,Nevada,http://www.mynevadacounty.com/nc/cda/pw/transit/Pages/Home.aspx,,,,,,7.0,17.0,
84,City of California City,91111,California City,Kern,Kern,http://www.californiacity-ca.gov/CC/,,,,,,2.0,2.0,
85,City of Davis,90167,Davis,Yolo,Yolo,http://cityofdavis.org/city-hall/parks-and-community-services/davis-community-transit,3.0,Marysville / Sacramento,True,False,,3.0,3.0,
86,Transit Joint Powers Authority for Merced County,90173,Merced,Merced,Merced,http://www.mercedthebus.com/,10.0,Stockton,True,True,5307;5311,,50.0,https://data.trilliumtransit.com/gtfs/mercedthebus-ca-us/mercedthebus-ca-us.zip;https://thebuslive.com/gtfs
87,City of West Covina,90293,West Covina,Los Angeles,Los Angeles,https://www.westcovina.org/departments/public-services-department/community-services-division/transit-services,7.0,Los Angeles,True,True,,,8.0,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/westcovina-ca-us/westcovina-ca-us.zip
88,"Golden Gate Bridge, Highway and Transportation District",90016,San Francisco,San Francisco,Marin;San Francisco;Sonoma,http://www.goldengate.org/,4.0,Bay Area / Oakland,True,True,5307;5310,47.0,59.0,https://api.511.org/transit/datafeeds?operator_id=GF;https://api.511.org/transit/datafeeds?operator_id=GG;https://api.511.org/transit/datafeeds?operator_id=RG;https://realtime.goldengate.org/gtfsstatic/GTFSTransitData.zip
89,Orange County Transportation Authority,90036,Orange,Orange,Orange,http://www.octa.net/,12.0,Orange County,True,True,5307;5309;5310;5316;5339,214.0,739.0,https://octa.net/current/google_transit.zip
90,Los Angeles County Dept. of Public Works - Willowbrook Shuttle,90278,Alhambra,Los Angeles,Los Angeles,http://www.dpw.lacounty.gov/transit,,,,,,,2.0,
91,Lassen Transit Service Agency,91098,Susanville,Lassen,Lassen,http://lassentransportation.com/ltsa,,,,,,,5.0,
92,City of Santa Rosa,90017,Santa Rosa,Sonoma,Sonoma,www.srcity.org/citybus,4.0,Bay Area / Oakland,True,True,5307;5310,20.0,31.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SR;https://santarosa.syncromatics.com/gtfs
93,City of Simi Valley,90050,Simi Valley,Ventura,Ventura,http://www.simivalley.org/,7.0,Los Angeles,True,True,5307,17.0,17.0,https://data.trilliumtransit.com/gtfs/simivalley-ca-us/simivalley-ca-us.zip;https://govcbus.com/gtfs
94,Altamont Corridor Express,90182,Stockton,San Joaquin,San Joaquin,http://www.acerail.com/,10.0,Stockton,True,True,5307;5309;5337,,27.0,https://api.511.org/transit/datafeeds?operator_id=CE;https://api.511.org/transit/datafeeds?operator_id=RG
95,California Vanpool Authority,90230,Hanford,Kings,Kings,http://www.CalVans.org/,6.0,Fresno / Bakersfield,True,False,,758.0,758.0,
96,City of Cudahy,90262,Cudahy,Los Angeles,Los Angeles,http://www.cityofcudahy.com,7.0,Los Angeles,True,True,,,6.0,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/cudahy-ca-us/cudahy-ca-us.zip
97,Los Angeles County Department of Public Works - Whittier,90277,Alhambra,Los Angeles,Los Angeles,https://dpw.lacounty.gov/transit/DAR.aspx#pageTitle,,,,,,,10.0,
98,Southern California Regional Rail Authority,90151,Los Angeles,Los Angeles,Los Angeles,http://www.metrolinktrains.com/,7.0,Los Angeles,True,True,5307;5337,,195.0,https://www.metrolinktrains.com/globalassets/about/gtfs/gtfs.zip
99,Morongo Band of Mission Indians,99358,Banning,Riverside,Riverside,https://morongonation.org/transportation/,8.0,San Bernardino / Riverside,True,True,,2.0,2.0,
